"Name","Price_greater_10","Price_greater_20","Price_greater_30","Price_greater_40","Price_greater_50","Std_10","Std_20","Std_30","Std_40","Std_50"
"Tether","Yes","Yes","Yes","Yes","Yes",0.00342635473450527,0.00322573227100616,0.00471505754880105,0.00641237551806002,0.00675799320680817
"MinexCoin","Yes","Yes","Yes","Yes","Yes",2.09377808438876,3.29843886518583,3.91102097379588,4.11209621975372,3.99119672094801
"Genesis Vision","Yes","Yes","Yes","Yes","Yes",4.53027114714635,5.90703102466169,8.08307754779565,7.99272646511526,7.30889142603384
"SaluS","Yes","Yes","Yes","Yes","Yes",21.9306271126832,21.1906238637951,17.9982944945526,16.7238217936157,16.0853581488107
"Feathercoin","Yes","Yes","Yes","Yes","Yes",0.0323645038302424,0.0318357568068227,0.0369410406928563,0.0424990304586545,0.0524044813504708
"bitCNY","Yes","Yes","Yes","Yes","Yes",0.00563092759775075,0.00534663531652335,0.00503328844826603,0.0073148238017495,0.00750278654109421
"Unobtanium","Yes","Yes","Yes","Yes","Yes",11.1571691451431,11.2787696580788,12.4650981987086,15.4242247342888,15.3327719248008
"KickCoin","Yes","Yes","Yes","Yes","Yes",0.00564827384546228,0.00933883053368258,0.00915643126159291,0.0111845963612221,0.0133776889925742
"Cofound.it","Yes","Yes","Yes","Yes","Yes",0.0181704986906432,0.0162656003089504,0.0137268795600155,0.0275608938464402,0.043711547044114
"bitUSD","Yes","Yes","Yes","Yes","Yes",0.0415665580871343,0.0390113030725509,0.042910033331298,0.049578809326111,0.0468295587055519
"NewYorkCoin","Yes","Yes","Yes","Yes","Yes",3.04063224419601e-05,2.38779241802527e-05,2.31566628528974e-05,2.91494381350609e-05,5.73497113136161e-05
"B2BX","Yes","Yes","Yes","Yes","Yes",0.120366034958372,0.103605349914433,0.108661356058977,0.134098222323919,0.230017676110802
"Ethereum Movi...","Yes","Yes","Yes","Yes","Yes",0.83932864578466,0.707202472381447,0.709181922418255,0.662816575782811,0.656478011011148
