"#","Name","Symbol","Market Cap","Price","Circulating Supply","Volume (24h)","% 1h","% 24h","% 7d","URLS"
1,"Bitcoin","BTC","$125,378,331,744","7393.92","16956950","$5,101,960,000","-0.13%","0.16%","-7.06%","https://coinmarketcap.com/currencies/bitcoin/"
2,"Ethereum","ETH","$40,131,471,569","406.99","98604820","$1,275,330,000","-0.10%","2.13%","-10.50%","https://coinmarketcap.com/currencies/ethereum/"
3,"Ripple","XRP","$21,137,899,072","0.540687","39094520623","$585,909,000","-0.17%","4.72%","-7.31%","https://coinmarketcap.com/currencies/ripple/"
4,"Bitcoin Cash","BCH","$11,848,518,032","694.75","17054338","$295,846,000","-0.37%","0.52%","-21.59%","https://coinmarketcap.com/currencies/bitcoin-cash/"
5,"Litecoin","LTC","$7,259,015,916","129.79","55928069","$378,925,000","-0.44%","5.48%","-4.68%","https://coinmarketcap.com/currencies/litecoin/"
6,"EOS","EOS","$4,629,664,126","6.01","770312711","$266,467,000","0.02%","0.23%","-3.61%","https://coinmarketcap.com/currencies/eos/"
7,"Cardano","ADA","$4,478,253,259","0.172725","25927070538","$157,956,000","0.29%","5.62%","7.82%","https://coinmarketcap.com/currencies/cardano/"
8,"Stellar","XLM","$4,290,936,849","0.231306","18550910262","$64,955,000","-0.05%","-1.57%","4.95%","https://coinmarketcap.com/currencies/stellar/"
9,"NEO","NEO","$3,361,871,500","51.72","65000000","$81,140,700","-0.55%","0.02%","-10.32%","https://coinmarketcap.com/currencies/neo/"
10,"IOTA","MIOTA","$2,985,326,705","1.07","2779530283","$27,162,500","0.38%","-0.18%","-10.57%","https://coinmarketcap.com/currencies/iota/"
11,"Monero","XMR","$2,977,598,921","187.31","15896721","$36,720,700","0.14%","1.11%","-2.28%","https://coinmarketcap.com/currencies/monero/"
12,"Dash","DASH","$2,671,304,718","334.30","7990669","$86,850,900","-0.43%","1.93%","-7.09%","https://coinmarketcap.com/currencies/dash/"
13,"Tether","USDT","$2,293,293,222","1.00","2287140814","$1,663,640,000","0.07%","0.09%","0.19%","https://coinmarketcap.com/currencies/tether/"
14,"NEM","XEM","$2,254,995,000","0.250555","8999999999","$49,467,500","-0.48%","0.90%","-0.89%","https://coinmarketcap.com/currencies/nem/"
15,"TRON","TRX","$2,208,988,046","0.033598","65748192475","$211,240,000","-0.67%","-3.92%","-24.88%","https://coinmarketcap.com/currencies/tron/"
16,"Binance Coin","BNB","$1,503,111,401","12.93","116261604","$155,881,000","-1.26%","-0.42%","9.15%","https://coinmarketcap.com/currencies/binance-coin/"
17,"Ethereum Classic","ETC","$1,488,202,479","14.74","100946412","$111,702,000","-0.24%","-1.67%","-9.76%","https://coinmarketcap.com/currencies/ethereum-classic/"
18,"VeChain","VEN","$1,453,000,318","2.77","524770505","$63,580,200","-0.47%","-6.59%","-6.06%","https://coinmarketcap.com/currencies/vechain/"
19,"Qtum","QTUM","$1,303,225,509","14.73","88497668","$108,529,000","0.01%","-0.67%","-6.90%","https://coinmarketcap.com/currencies/qtum/"
