"shortmove","longmove","Profit","TotalTrades","Name"
18,16,0.229252,98,"Tether"
17,14,0.21869,89,"Tether"
41,39,0.13482,93,"Tether"
38,33,0.112092,67,"Tether"
18,14,0.103778,67,"Tether"
17,16,0.100762,142,"Tether"
43,36,0.0956739999999998,49,"Tether"
37,33,0.0851540000000004,71,"Tether"
41,38,0.080174,73,"Tether"
37,34,0.0762140000000004,73,"Tether"
15,14,0.0761180000000001,147,"Tether"
42,36,0.0709160000000002,59,"Tether"
27,22,0.0681220000000002,59,"Tether"
41,40,0.0606640000000005,123,"Tether"
36,35,0.0501540000000003,129,"Tether"
22,15,0.0490280000000001,50,"Tether"
44,36,0.0483239999999998,47,"Tether"
27,21,0.0442000000000002,60,"Tether"
42,40,0.0390459999999999,87,"Tether"
41,33,0.036038,49,"Tether"
12,9,0.034294,93,"Tether"
19,4,0.0333220000000001,65,"Tether"
37,36,0.0317900000000004,129,"Tether"
48,47,0.0257179999999999,107,"Tether"
36,34,0.0230940000000002,89,"Tether"
40,33,0.0226119999999999,51,"Tether"
39,33,0.0215079999999999,61,"Tether"
27,24,0.0194159999999999,79,"Tether"
16,15,0.0191419999999998,143,"Tether"
22,14,0.0177920000000003,52,"Tether"
41,29,0.0175620000000005,38,"Tether"
17,9,0.015336,63,"Tether"
25,22,0.0122120000000001,81,"Tether"
42,38,0.0119500000000001,67,"Tether"
34,20,0.0111319999999999,38,"Tether"
17,15,0.0105120000000001,97,"Tether"
19,16,0.00987999999999989,88,"Tether"
43,38,0.00968800000000014,61,"Tether"
16,14,0.00549399999999989,101,"Tether"
39,35,0.00542399999999987,69,"Tether"
18,15,0.00524600000000031,88,"Tether"
28,24,0.0050100000000004,65,"Tether"
35,33,0.00351800000000013,91,"Tether"
40,36,0.00023200000000001,71,"Tether"
40,34,-0.000556000000000223,61,"Tether"
40,35,-0.00321000000000016,63,"Tether"
18,9,-0.00448399999999993,61,"Tether"
20,9,-0.00561399999999956,55,"Tether"
11,9,-0.00735399999999919,113,"Tether"
41,34,-0.00750600000000023,53,"Tether"
44,35,-0.00798199999999993,41,"Tether"
29,21,-0.00844000000000045,52,"Tether"
22,21,-0.0102079999999998,140,"Tether"
35,20,-0.0102139999999999,36,"Tether"
26,22,-0.0103879999999996,67,"Tether"
43,35,-0.010756,45,"Tether"
41,31,-0.0120639999999999,48,"Tether"
29,24,-0.0144480000000002,62,"Tether"
30,29,-0.0145739999999994,131,"Tether"
24,15,-0.0150759999999999,48,"Tether"
42,35,-0.015924,55,"Tether"
27,7,-0.0162899999999997,45,"Tether"
36,26,-0.0171620000000001,42,"Tether"
21,15,-0.0176599999999998,56,"Tether"
22,9,-0.0178599999999998,51,"Tether"
28,21,-0.0189979999999996,52,"Tether"
40,37,-0.0192760000000001,71,"Tether"
36,30,-0.0196160000000003,62,"Tether"
42,37,-0.0215940000000001,59,"Tether"
48,45,-0.0217339999999997,67,"Tether"
41,32,-0.022254,45,"Tether"
31,14,-0.0227980000000001,36,"Tether"
23,14,-0.0245059999999997,50,"Tether"
16,9,-0.02495,63,"Tether"
29,20,-0.0255640000000006,50,"Tether"
19,9,-0.0264699999999998,55,"Tether"
28,14,-0.0277999999999998,38,"Tether"
26,9,-0.0278579999999997,53,"Tether"
29,14,-0.028578,44,"Tether"
18,13,-0.0288679999999994,61,"Tether"
28,22,-0.0292099999999993,59,"Tether"
38,34,-0.0294080000000001,67,"Tether"
28,16,-0.0298699999999998,42,"Tether"
50,49,-0.0301360000000002,108,"Tether"
31,20,-0.0301500000000001,42,"Tether"
30,28,-0.031366,88,"Tether"
15,5,-0.0318899999999995,69,"Tether"
39,34,-0.0326180000000005,65,"Tether"
22,17,-0.0333019999999999,62,"Tether"
39,26,-0.0333380000000001,38,"Tether"
37,29,-0.0337639999999999,44,"Tether"
50,43,-0.0340879999999999,48,"Tether"
47,45,-0.0341339999999999,81,"Tether"
18,11,-0.0344259999999998,55,"Tether"
27,16,-0.034492,38,"Tether"
18,8,-0.0347879999999998,57,"Tether"
29,22,-0.0350699999999999,54,"Tether"
23,16,-0.0354780000000001,50,"Tether"
40,38,-0.0360360000000002,93,"Tether"
8,5,-0.0375579999999998,103,"Tether"
25,24,-0.0379380000000007,145,"Tether"
4,3,-0.0379519999999995,194,"Tether"
17,5,-0.0382359999999995,61,"Tether"
12,11,-0.0382920000000002,147,"Tether"
31,17,-0.0385359999999999,36,"Tether"
49,43,-0.0387399999999998,55,"Tether"
16,5,-0.0387879999999996,63,"Tether"
21,14,-0.0389799999999998,49,"Tether"
15,9,-0.0392219999999996,69,"Tether"
37,30,-0.0398960000000002,50,"Tether"
24,14,-0.0400239999999996,50,"Tether"
30,20,-0.040286,44,"Tether"
30,21,-0.0407579999999998,48,"Tether"
27,8,-0.0410039999999998,49,"Tether"
37,35,-0.0410959999999998,89,"Tether"
39,27,-0.0412759999999999,46,"Tether"
23,5,-0.0418619999999994,59,"Tether"
31,21,-0.0418860000000001,44,"Tether"
14,9,-0.0424999999999995,75,"Tether"
17,8,-0.0426459999999997,63,"Tether"
26,8,-0.0428099999999996,49,"Tether"
48,22,-0.0429160000000002,28,"Tether"
21,9,-0.0435739999999998,55,"Tether"
13,11,-0.0438359999999995,109,"Tether"
18,5,-0.0448559999999996,61,"Tether"
23,20,-0.0450620000000002,80,"Tether"
42,12,-0.0451019999999998,27,"Tether"
20,16,-0.0453399999999999,68,"Tether"
46,45,-0.0460739999999999,107,"Tether"
17,4,-0.0461679999999998,69,"Tether"
36,33,-0.0469940000000002,75,"Tether"
25,8,-0.0477259999999997,55,"Tether"
39,36,-0.0483140000000002,71,"Tether"
14,8,-0.0496899999999998,67,"Tether"
25,15,-0.049992,48,"Tether"
43,12,-0.0500019999999997,27,"Tether"
40,12,-0.0502099999999996,29,"Tether"
43,34,-0.0506880000000003,41,"Tether"
39,15,-0.0508019999999998,30,"Tether"
34,18,-0.0510439999999999,34,"Tether"
30,26,-0.0510519999999997,64,"Tether"
26,15,-0.0510679999999997,44,"Tether"
28,19,-0.0517299999999998,48,"Tether"
8,7,-0.0520560000000003,155,"Tether"
33,15,-0.0522139999999998,36,"Tether"
38,29,-0.0523179999999996,44,"Tether"
22,20,-0.0523600000000002,92,"Tether"
47,22,-0.0534740000000002,30,"Tether"
43,39,-0.0536720000000004,65,"Tether"
39,30,-0.0537300000000005,46,"Tether"
13,9,-0.0544559999999998,85,"Tether"
38,32,-0.05446,63,"Tether"
48,46,-0.0546699999999998,81,"Tether"
35,30,-0.0550280000000001,60,"Tether"
14,13,-0.0562559999999994,151,"Tether"
10,9,-0.0567179999999992,149,"Tether"
22,8,-0.0583539999999998,57,"Tether"
18,4,-0.0586299999999997,65,"Tether"
30,14,-0.0589780000000002,42,"Tether"
28,26,-0.0590820000000001,87,"Tether"
42,31,-0.059318,46,"Tether"
31,26,-0.059588,62,"Tether"
14,11,-0.0598979999999998,99,"Tether"
45,36,-0.0604480000000001,41,"Tether"
17,7,-0.0605679999999997,55,"Tether"
20,15,-0.0609080000000002,60,"Tether"
39,13,-0.0611579999999998,30,"Tether"
12,8,-0.0613900000000001,89,"Tether"
40,30,-0.0619960000000004,46,"Tether"
44,34,-0.0622240000000001,43,"Tether"
38,26,-0.0626659999999999,42,"Tether"
18,17,-0.0627040000000003,144,"Tether"
44,38,-0.0631599999999999,59,"Tether"
30,13,-0.0637180000000002,34,"Tether"
19,11,-0.0637939999999999,55,"Tether"
33,13,-0.0642320000000001,34,"Tether"
33,20,-0.0643839999999998,40,"Tether"
23,4,-0.0644619999999998,69,"Tether"
33,17,-0.0647679999999997,34,"Tether"
19,5,-0.0649579999999996,57,"Tether"
35,32,-0.0649619999999997,75,"Tether"
41,36,-0.0649839999999997,63,"Tether"
34,28,-0.0651779999999997,64,"Tether"
38,36,-0.0657160000000001,89,"Tether"
29,26,-0.0662880000000003,74,"Tether"
43,14,-0.0665579999999999,26,"Tether"
20,4,-0.0666599999999999,65,"Tether"
25,23,-0.0668880000000001,89,"Tether"
44,37,-0.0674480000000002,49,"Tether"
23,8,-0.0674899999999996,57,"Tether"
45,35,-0.0678559999999999,45,"Tether"
27,15,-0.067936,42,"Tether"
29,15,-0.068524,40,"Tether"
28,20,-0.0687019999999998,52,"Tether"
49,45,-0.0687600000000002,59,"Tether"
28,15,-0.0689039999999999,42,"Tether"
20,14,-0.0694039999999996,57,"Tether"
29,16,-0.069674,42,"Tether"
44,12,-0.0697599999999998,27,"Tether"
45,12,-0.07033,27,"Tether"
37,28,-0.0704119999999999,44,"Tether"
22,5,-0.0705639999999994,61,"Tether"
24,8,-0.0708499999999994,57,"Tether"
30,16,-0.070994,38,"Tether"
25,14,-0.0710379999999999,42,"Tether"
43,15,-0.0710739999999999,26,"Tether"
37,15,-0.0712919999999997,32,"Tether"
21,5,-0.0713599999999994,59,"Tether"
38,15,-0.0715999999999999,32,"Tether"
41,21,-0.0718019999999999,30,"Tether"
40,27,-0.0720019999999999,38,"Tether"
22,4,-0.0722560000000001,67,"Tether"
42,21,-0.0722760000000002,30,"Tether"
21,4,-0.0723,67,"Tether"
50,45,-0.0724239999999996,62,"Tether"
42,41,-0.0731880000000003,119,"Tether"
49,47,-0.0733839999999999,81,"Tether"
31,16,-0.0741259999999999,38,"Tether"
37,26,-0.0744419999999999,40,"Tether"
25,16,-0.0744780000000003,44,"Tether"
26,4,-0.0747259999999998,59,"Tether"
28,4,-0.0749759999999999,59,"Tether"
